customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
4991-GLXSN,male,no,no,no,5,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,credit card (automatic),89.86,432.74,yes
8057-RDPRT,male,no,yes,no,32,yes,no,dsl,no,yes,yes,yes,no,no,month-to-month,no,mailed check,83.56,2591.65,no
3897-DIDNF,female,no,yes,no,1,yes,yes,dsl,yes,yes,no,no,no,yes,one year,yes,mailed check,86.62,88.68,no
1431-SYKSE,female,no,no,yes,6,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,mailed check,102.1,602.76,yes
1131-BKZOG,female,no,no,no,59,yes,no,fiber optic,yes,no,no,yes,yes,no,two year,yes,credit card (automatic),97.06,5850.43,no
6515-KIJMU,female,no,yes,yes,38,yes,no,dsl,yes,no,yes,no,no,yes,month-to-month,yes,mailed check,79.28,3171.3,no
4736-UMNWD,female,no,no,yes,25,yes,no,dsl,no,no,no,no,no,no,two year,no,credit card (automatic),59.64,1470.56,no
3464-CHBJS,male,no,no,yes,29,yes,no,dsl,no,no,no,yes,no,yes,month-to-month,no,bank transfer (automatic),75.42,2282.21,no
2032-ESAIB,female,no,no,yes,31,yes,yes,dsl,yes,yes,no,no,yes,no,two year,no,electronic check,87.14,2589.95,no
4055-EJOIK,female,no,yes,no,6,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),108.19,660.34,yes
3224-FOGTH,male,yes,yes,yes,2,no,no phone service,dsl,no,no,yes,yes,no,yes,two year,no,credit card (automatic),61.89,124.61,no
9310-QZHGD,male,no,yes,yes,1,yes,yes,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),93.82,94.07,no
1589-PDGDI,female,no,yes,no,71,no,no phone service,fiber optic,yes,no,yes,yes,no,no,two year,no,electronic check,79.07,5342.36,no
3539-JLUMD,female,no,yes,no,36,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,mailed check,99.71,3658.23,no
2982-BWQVL,female,no,yes,no,8,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),93.87,722.14,yes
9266-EFUQH,male,no,yes,no,54,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),43.53,2243.03,no
4480-BTURV,male,no,yes,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,37.69,333.97,no
2301-MAGDP,male,no,no,no,26,yes,yes,fiber optic,no,yes,yes,no,yes,no,two year,no,credit card (automatic),107.91,2843.7,no
8944-GPYSM,female,no,no,no,46,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,43.68,2095.6,no
6627-HSHHH,male,no,no,no,2,yes,no,dsl,no,no,no,no,no,yes,one year,no,mailed check,68.39,132.11,no
3920-JDYVB,female,no,yes,no,5,yes,yes,dsl,no,yes,yes,no,no,yes,one year,no,bank transfer (automatic),90.07,435.58,no
7126-LMXEY,female,no,yes,no,37,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,45.47,1659.18,no
4899-JCIHX,male,no,yes,no,39,yes,yes,fiber optic,yes,yes,no,yes,no,yes,month-to-month,yes,credit card (automatic),112.01,4268.06,no
8229-BQTKJ,male,no,yes,no,67,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,62.95,4136.72,no
5139-KUITW,female,no,yes,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),38.08,381.54,no
7758-FHJBD,female,yes,no,yes,44,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),80.05,3670.66,no
1639-ICQRO,female,no,yes,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,33.81,407.36,no
6636-PMGBC,male,no,no,no,1,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,45.42,45.97,no
6911-QBGXH,male,no,no,no,14,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,no,credit card (automatic),120.84,1623.34,yes
8663-GHYQS,female,no,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,39.29,161.2,no
5429-ATZOW,female,no,yes,no,70,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),18.25,1293.48,no
2952-EJEOW,female,no,yes,yes,28,yes,yes,dsl,no,no,no,no,yes,yes,two year,yes,mailed check,83.58,2380.29,no
4343-HCTIU,female,no,no,no,9,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),46.27,405.47,yes
8091-DEMIK,female,no,no,no,9,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,45.68,416.85,no
8441-AXHKF,male,yes,no,yes,0,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),40.15, ,no
4022-JTEMX,male,no,no,no,3,yes,no,fiber optic,yes,yes,no,no,no,yes,month-to-month,yes,electronic check,96.78,282.57,no
3409-OIFXF,male,yes,no,no,32,yes,yes,dsl,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),83.11,2651.66,no
8735-YTMGO,male,no,yes,no,39,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,credit card (automatic),100.82,4129.68,no
9839-PUQVK,female,no,no,no,28,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),46.73,1368.42,no
7451-DSYVM,female,yes,yes,no,6,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),48.89,306.09,no
1473-NGYPX,male,no,yes,no,62,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,101.0,6523.27,no
1246-DQCDT,male,no,no,no,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),37.41,210.73,no
3703-PNTHL,female,no,no,no,34,yes,no,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,79.29,2801.28,no
1796-BYOKD,female,no,yes,no,59,yes,no,fiber optic,yes,no,yes,no,no,no,month-to-month,no,electronic check,94.51,5364.71,no
8488-VWJIZ,male,no,yes,no,10,yes,no,dsl,yes,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),80.85,806.72,yes
7422-TPVZZ,female,yes,yes,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,37.67,691.01,yes
3971-XBYMZ,female,no,yes,no,13,yes,no,dsl,no,yes,no,yes,yes,no,two year,yes,electronic check,80.31,1118.48,no
4871-VLLHT,female,no,no,yes,12,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,45.61,572.75,no
2008-CBYRV,female,no,yes,no,16,yes,no,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,77.77,1189.02,no
2913-TJLGM,female,no,no,no,72,yes,yes,dsl,yes,no,yes,yes,yes,yes,month-to-month,no,credit card (automatic),101.39,7474.91,no
4023-ZOVON,female,no,yes,no,2,yes,no,dsl,yes,yes,no,no,yes,no,one year,no,credit card (automatic),75.88,154.16,no
9263-RCCGF,female,no,yes,no,37,no,no phone service,fiber optic,no,no,yes,no,yes,no,month-to-month,no,electronic check,74.49,2705.08,no
6424-TSEDR,male,no,no,no,7,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),42.65,295.7,no
5459-TSQQI,female,no,no,no,0,yes,no,dsl,no,no,yes,no,yes,no,two year,no,credit card (automatic),75.33, ,no
2940-FOOPM,male,no,no,yes,7,yes,yes,fiber optic,yes,no,no,no,no,yes,month-to-month,yes,credit card (automatic),100.37,730.82,yes
2484-LFXDJ,female,no,no,yes,58,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,38.6,2205.67,no
8043-JDKKT,male,no,no,yes,11,yes,yes,fiber optic,yes,no,no,yes,yes,no,two year,no,electronic check,103.85,1164.58,yes
1928-GERHR,female,no,no,yes,52,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,44.72,2222.49,no
9907-IZNAS,male,no,yes,no,30,yes,no,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card (automatic),110.39,3817.21,yes
1476-YIVSP,male,no,yes,no,40,yes,yes,dsl,no,no,no,no,yes,yes,one year,yes,credit card (automatic),79.95,3059.44,no
8377-ETWZQ,male,yes,yes,no,9,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),115.85,1091.96,no
2768-KARCK,female,no,no,yes,25,yes,no,dsl,no,no,yes,yes,no,yes,one year,yes,electronic check,78.57,1920.41,no
7532-RMXYT,female,no,no,no,7,yes,no,fiber optic,no,yes,no,no,yes,yes,one year,yes,bank transfer (automatic),99.01,695.48,yes
4157-HKQMD,female,yes,no,yes,1,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,bank transfer (automatic),88.78,90.98,no
4093-YGCYC,male,no,no,no,14,yes,no,fiber optic,no,yes,yes,yes,no,no,two year,yes,electronic check,99.59,1472.13,no
5352-HDYJT,female,no,yes,no,1,yes,no,dsl,yes,no,no,yes,no,no,one year,yes,bank transfer (automatic),74.22,72.14,yes
8786-XBAWX,female,no,no,no,12,yes,no,fiber optic,no,no,no,no,no,yes,one year,yes,bank transfer (automatic),90.51,1080.94,no
8138-PHAGF,male,no,yes,no,67,yes,no,dsl,no,no,no,no,yes,yes,month-to-month,no,electronic check,75.13,4565.81,no
6459-VYQYT,female,no,yes,no,9,yes,yes,dsl,no,yes,no,yes,yes,no,one year,yes,mailed check,88.72,792.5,no
1455-SNYON,female,no,yes,no,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,38.66,1172.15,no
2087-SDTHC,male,no,no,yes,69,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),44.15,3107.13,no
6721-HEFRH,male,no,no,yes,44,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,37.72,1711.07,no
2854-UTYQG,male,no,no,no,59,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,44.18,2583.61,no
2386-AXKZZ,female,no,yes,no,18,yes,no,fiber optic,yes,no,no,no,yes,yes,two year,yes,mailed check,98.67,1846.1,no
8450-FEUOD,male,yes,yes,no,6,yes,yes,dsl,yes,no,no,yes,yes,yes,month-to-month,no,bank transfer (automatic),92.92,527.69,yes
6671-FZPWW,male,no,yes,no,15,yes,no,fiber optic,no,no,yes,yes,no,yes,two year,no,bank transfer (automatic),98.49,1410.13,no
9486-QPNLN,female,no,no,yes,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),39.83,343.21,no
7724-VGKPX,male,yes,no,no,56,yes,no,dsl,no,no,no,no,yes,no,one year,no,electronic check,71.78,3910.19,no
7647-NSUMG,female,no,yes,no,7,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,credit card (automatic),90.06,578.66,no
9201-BVIEL,male,yes,no,no,68,yes,no,fiber optic,no,yes,yes,no,no,no,one year,no,credit card (automatic),95.08,6602.17,no
8686-ADQNS,male,no,no,no,20,yes,no,fiber optic,yes,no,no,no,no,no,one year,no,electronic check,87.54,1756.17,yes
7479-LPXYF,female,no,no,no,31,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),88.15,2678.4,yes
5330-MKENU,female,no,no,no,52,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,72.21,3765.37,no
8720-YITLL,female,no,yes,yes,13,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,18.79,257.72,no
6313-DVZLU,male,no,yes,no,62,yes,yes,dsl,no,no,yes,yes,no,yes,month-to-month,no,bank transfer (automatic),90.89,5868.18,no
8443-MNSEP,female,no,no,no,51,yes,no,fiber optic,no,yes,yes,yes,no,yes,two year,yes,electronic check,105.15,5351.1,no
9701-RLVXG,female,no,no,no,2,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,43.22,85.75,no
3390-XZGNH,female,no,no,yes,59,yes,yes,fiber optic,no,no,no,no,yes,yes,two year,no,electronic check,99.25,5491.79,no
8773-PFHEK,female,no,no,no,67,yes,no,dsl,no,yes,no,yes,no,no,two year,no,bank transfer (automatic),73.58,4751.46,no
1842-YKNCE,female,no,no,no,33,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,44.49,1414.49,no
3121-DBQSU,female,no,yes,yes,33,yes,yes,fiber optic,no,no,yes,no,yes,no,one year,yes,mailed check,100.3,3206.43,no
5618-FFBEA,male,no,no,no,11,yes,no,fiber optic,no,no,no,yes,yes,yes,two year,no,electronic check,96.12,1013.41,no
7294-PPHRO,female,yes,yes,yes,16,yes,no,dsl,no,no,yes,no,no,yes,two year,no,electronic check,72.36,1187.55,no
5303-XSBLF,female,no,no,yes,11,yes,no,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),102.5,1194.59,yes
3355-HFRML,male,no,no,no,13,yes,no,dsl,no,no,yes,no,no,no,one year,no,electronic check,72.0,1030.64,yes
2093-TFKFY,male,yes,yes,no,39,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,34.31,1297.05,no
8415-NWFCH,female,no,no,no,3,no,no phone service,fiber optic,yes,yes,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),84.61,255.78,yes
8107-LBNHH,male,no,yes,no,15,yes,no,fiber optic,no,no,no,no,no,no,one year,no,mailed check,85.26,1279.59,yes
2002-MMSGR,male,yes,no,no,1,no,no phone service,dsl,no,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),62.49,59.21,no
3476-BAWII,female,no,yes,no,13,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,46.2,590.57,no
5130-PVPXX,female,no,no,no,55,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),37.51,2062.38,no
1148-MHXEV,male,no,no,no,17,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,credit card (automatic),120.73,2024.43,yes
5625-MKHSM,female,yes,yes,no,16,yes,no,fiber optic,no,no,yes,yes,no,yes,one year,no,bank transfer (automatic),98.59,1609.49,no
4835-EEVKE,female,no,yes,no,2,yes,yes,dsl,no,yes,yes,yes,yes,yes,one year,no,bank transfer (automatic),94.7,191.93,no
1729-ENQBX,male,yes,yes,no,17,yes,no,fiber optic,yes,no,no,no,no,yes,month-to-month,yes,electronic check,90.69,1536.2,yes
7037-KQKPN,male,yes,yes,no,7,yes,no,dsl,yes,no,no,no,yes,yes,two year,no,mailed check,79.75,548.87,no
4699-JUWAK,female,no,no,no,39,no,no phone service,fiber optic,yes,no,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),78.62,3128.77,no
4702-JJFYP,male,no,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,credit card (automatic),89.57,291.05,yes
9976-FGBAD,female,no,no,yes,0,yes,no,fiber optic,no,yes,no,yes,yes,no,one year,yes,electronic check,99.74, ,no
9861-IMFZK,female,no,no,no,56,yes,no,dsl,no,no,no,yes,no,yes,month-to-month,no,mailed check,75.86,4405.35,no
1944-VMNFU,female,no,no,no,3,yes,no,fiber optic,yes,no,yes,no,yes,no,one year,yes,mailed check,97.27,302.38,no
1087-RKLLJ,female,no,no,no,14,yes,no,dsl,yes,no,no,no,yes,no,two year,yes,electronic check,72.55,1068.9,no
1270-KKTWA,female,no,yes,no,41,yes,yes,fiber optic,no,no,no,no,no,yes,one year,no,credit card (automatic),93.25,3660.46,no
7818-LQGTG,male,no,no,yes,12,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),47.26,576.51,no
1669-QGWTA,female,no,no,no,54,yes,no,dsl,no,no,yes,no,no,no,month-to-month,no,electronic check,70.55,3794.35,no
6563-IROHE,male,no,no,yes,16,yes,no,fiber optic,no,no,yes,yes,no,yes,one year,yes,credit card (automatic),102.26,1658.44,yes
7697-EAIGY,female,no,yes,no,17,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,18.98,300.54,no
8814-XUETO,male,yes,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,35.31,137.44,no
2583-MNJQY,male,no,yes,no,64,yes,no,fiber optic,yes,no,yes,no,no,no,month-to-month,yes,electronic check,91.15,5642.81,no
4958-HDHRX,male,no,no,no,53,no,no phone service,fiber optic,no,no,no,yes,yes,no,month-to-month,no,mailed check,75.11,4085.22,no
5627-FZXRY,male,no,no,no,72,yes,no,fiber optic,yes,no,yes,yes,no,no,two year,yes,electronic check,99.67,7069.5,no
7686-BURPY,female,no,no,no,3,yes,yes,fiber optic,no,yes,no,no,no,yes,two year,no,bank transfer (automatic),104.38,287.97,no
6844-RCQID,female,yes,no,no,12,yes,no,dsl,yes,no,no,no,no,yes,month-to-month,yes,credit card (automatic),74.32,949.73,no
3275-JJHNJ,female,no,yes,no,45,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,92.6,4087.76,no
4951-BKJRL,male,no,yes,yes,61,yes,no,dsl,no,no,no,yes,yes,yes,one year,yes,mailed check,81.89,4962.97,no
8866-HXLPC,male,no,yes,no,13,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),98.91,1296.68,yes
8928-JZQKB,male,no,no,no,58,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),98.4,5740.57,no
1753-LYYTS,female,yes,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,34.94,62.12,no
5462-LUCTZ,male,no,yes,no,60,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,87.66,5045.2,no
9087-JNZAE,female,no,yes,yes,1,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,yes,bank transfer (automatic),113.25,114.12,no
8612-LLLMI,female,no,yes,yes,56,yes,yes,dsl,no,no,no,no,yes,yes,month-to-month,no,mailed check,82.37,4746.42,no
4760-GKJUD,male,yes,yes,yes,40,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),104.83,4382.57,no
2206-EDOZI,male,no,no,no,13,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,no,mailed check,105.55,1415.21,no
7229-UFLMW,female,yes,no,no,1,yes,yes,dsl,no,yes,yes,yes,no,yes,month-to-month,yes,credit card (automatic),90.61,93.78,yes
3733-MEQBI,female,yes,yes,yes,11,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),18.25,192.77,no
4209-WKRRU,female,no,yes,no,35,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),44.23,1551.78,no
2837-XHXAG,male,no,no,yes,28,yes,no,dsl,no,yes,yes,yes,no,yes,two year,yes,electronic check,85.07,2334.21,no
